x=0.20381727845537984   y=1.3009952419303525
x=-0.10362420857222884   y=-1.5453720152194954
x=1.0459981656133195   y=-0.027171823077208543
x=0.20381151465988964   y=1.2959222359062663
x=-0.09666708655740108   y=-1.505624755861407
x=1.0513675813033077   y=-0.027573032212705045
x=0.199996115958355   y=1.3042360661188734
x=-0.08140456520886852   y=-1.3691386983817673
x=1.0577654200717836   y=-0.022678608895217486
x=0.19630581864388913   y=1.30108359519807
x=-0.06518506942394584   y=-1.2403691752857167
x=1.0608844513276803   y=-0.02731613610101806
x=0.18913494790744323   y=1.295199532653108
x=-0.06132163988736564   y=-1.207089252541495
x=1.0672445399594666   y=-0.03271457968819924
x=0.18643534318464408   y=1.3009444294546861
x=-0.05930661293273817   y=-1.2162883827103694
x=1.0717529064852473   y=-0.03524240014820486
x=0.18659150353274295   y=1.3150548351638438
x=-0.0412629292754958   y=-1.1744230034094043
x=1.0761615538430302   y=-0.02461529358969944
x=0.19450464644423648   y=1.312551346756169
x=-0.03382803286589739   y=-1.0554508548807278
x=1.0725671836598694   y=-0.03140000475106709
